#E[cm⁻¹]     g  configuration         term  p  ref
135752.9     5  2s2.2p3.(2D*<3/2>).11d 3P*  o  NIST
135755       7  2s2.2p3.(2D*<3/2>).11d 1F*  o  NIST
135755       5  2s2.2p3.(2D*<3/2>).11d 1D*  o  NIST
135852.6     7  2s2.2p3.(2D*).13d      3D*  o  NIST
135876.4     3  2s2.2p3.(2D*<5/2>).12d 3D*  o  NIST
135876.4     7  2s2.2p3.(2D*<5/2>).12d 3D*  o  NIST
135876.4     3  2s2.2p3.(2D*<3/2>).12d 3S*  o  NIST
135876.4     5  2s2.2p3.(2D*<5/2>).12d 3D*  o  NIST
135887       3  2s2.2p3.(2D*<5/2>).12d 1P*  o  NIST
135896.9     3  2s2.2p3.(2D*<3/2>).12d 3P*  o  NIST
135899.1     5  2s2.2p3.(2D*<3/2>).12d 3P*  o  NIST
135902       5  2s2.2p3.(2D*<3/2>).12d 1D*  o  NIST
135902       7  2s2.2p3.(2D*<3/2>).12d 1F*  o  NIST
